longitude,latitude,Soil_Phase,Main_Class,Soil_Type,Int_Type
76.55962557,11.79348903,DRHhC3g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.56189077,11.75054466,BMDhC2g1,BMD,Clay,1
76.56189229,11.75280482,BMDhC2g1,BMD,Clay,1
76.56189382,11.75506497,BMBiB1,BMB,Clay,1
76.56189534,11.75732513,GPRcB1,GPR,Gravelly_Sandy_Clay_Loam,3
76.56189687,11.75958528,BMBmB1,BMB,Clay,1
76.56189839,11.76184543,BMBmB1,BMB,Clay,1
76.56189992,11.76410559,ARKhB1,ARK,Sandy_Clay,4
76.56190145,11.76636574,GPRhB1g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.56190297,11.76862589,GPRhB1g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.5619045,11.77088604,BMBmB1,BMB,Clay,1
76.56190602,11.77314619,BMBmB1,BMB,Clay,1
76.56190755,11.77540634,HPRcB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.56190908,11.77766649,BMBiB1,BMB,Clay,1
76.56191061,11.77992664,BMBiB1,BMB,Clay,1
76.56191213,11.78218679,BMBiB1,BMB,Clay,1
76.56191366,11.78444694,BMDhB1g1,BMD,Clay,1
76.56191519,11.78670709,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.56191672,11.78896724,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.56191825,11.79122739,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56191978,11.79348754,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56192131,11.79574768,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56418462,11.75054315,BMDhC2g1,BMD,Clay,1
76.56418617,11.75280331,HGHhB1,HGH,Sandy_Clay_Loam,5
76.56418771,11.75506346,HGHhB1,HGH,Sandy_Clay_Loam,5
76.56418925,11.75732362,BMDhB1,BMD,Clay,1
76.5641908,11.75958377,BMDhB1,BMD,Clay,1
76.56419234,11.76184392,ARKhB1,ARK,Sandy_Clay,4
76.56419388,11.76410407,ARKhB1,ARK,Sandy_Clay,4
76.56419543,11.76636423,HGHhB1g1,HGH,Sandy_Clay_Loam,5
76.56419697,11.76862438,HGHhB1g1,HGH,Sandy_Clay_Loam,5
76.56419852,11.77088453,HDRhB1g1,HDR,Sandy_Clay_Loam,5
76.56420006,11.77314468,BMBmB1,BMB,Clay,1
76.56420161,11.77540483,BMBmB1,BMB,Clay,1
76.56420316,11.77766498,BMBiB1,BMB,Clay,1
76.5642047,11.77992513,BMBiB1,BMB,Clay,1
76.56420625,11.78218528,HGHiB1,HGH,Sandy_Clay_Loam,5
76.5642078,11.78444543,HGHiB1,HGH,Sandy_Clay_Loam,5
76.56420934,11.78670557,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.56421089,11.78896572,HPRhB2,HPR,Gravelly_Sandy_Clay_Loam,3
76.56421244,11.79122587,HPRcB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.56421399,11.79348602,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56421554,11.79574617,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56647848,11.75054163,GPRhB1g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.56648004,11.75280178,GPRhB1g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.5664816,11.75506193,HGHhB2,HGH,Sandy_Clay_Loam,5
76.56648316,11.75732209,GPRiB1,GPR,Gravelly_Sandy_Clay_Loam,3
76.56648472,11.75958224,GPRiB1,GPR,Gravelly_Sandy_Clay_Loam,3
76.56648785,11.76410254,KDHiB1,KDH,Sandy_Clay,4
76.56648941,11.76636269,KDHiB1,KDH,Sandy_Clay,4
76.56649098,11.76862284,ARKiB1,ARK,Sandy_Clay,4
76.56649254,11.77088299,BMBmB1,BMB,Clay,1
76.5664941,11.77314315,BMBmB1,BMB,Clay,1
76.56649567,11.7754033,BMBmB1,BMB,Clay,1
76.56649723,11.77766345,BMBiB1,BMB,Clay,1
76.5664988,11.77992359,HGHiB1,HGH,Sandy_Clay_Loam,5
76.56650036,11.78218374,HGHiB1,HGH,Sandy_Clay_Loam,5
76.56650193,11.78444389,BMBiB1,BMB,Clay,1
76.5665035,11.78670404,HPRcB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.56650506,11.78896419,HPRcB2g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.56650663,11.79122434,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.5665082,11.79348448,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56652074,11.81156565,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.56652231,11.81382579,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.56877233,11.75054008,HGHhB2,HGH,Sandy_Clay_Loam,5
76.56877391,11.75280023,HGHhB2,HGH,Sandy_Clay_Loam,5
76.56877549,11.75506038,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.56877707,11.75732054,MGHiB1,MGH,Gravelly_Sandy_Clay_Loam,3
76.5687834,11.76636114,ARKiB1,ARK,Sandy_Clay,4
76.56878498,11.76862129,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.56878656,11.77088144,BMBmB1,BMB,Clay,1
76.56878814,11.7731416,BMBmB1,BMB,Clay,1
76.56878973,11.77540174,BMBmB1,BMB,Clay,1
76.56879289,11.77992204,BMBiB1,BMB,Clay,1
76.56879448,11.78218219,BMBiB1,BMB,Clay,1
76.56879923,11.78896264,BMDcD2g1,BMD,Clay,1
76.56880082,11.79122278,BMDcD2g1,BMD,Clay,1
76.56880241,11.79348293,KNGhC2g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56880875,11.80252351,KNGbB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.56881034,11.80478366,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.56881193,11.8070438,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.56881351,11.80930395,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.5688151,11.81156409,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.57106618,11.75053851,BMBmB2,BMB,Clay,1
76.57106778,11.75279867,BMBmB2,BMB,Clay,1
76.57106938,11.75505882,BMBmB2,BMB,Clay,1
76.57107098,11.75731897,BMBmB2,BMB,Clay,1
76.57107258,11.75957912,MGHiB1,MGH,Gravelly_Sandy_Clay_Loam,3
76.57107418,11.76183927,KDHiB1,KDH,Sandy_Clay,4
76.57107578,11.76409942,KDHiB1,KDH,Sandy_Clay,4
76.57107738,11.76635958,ARKiB1,ARK,Sandy_Clay,4
76.57107898,11.76861973,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.57108218,11.77314003,BMBmB1,BMB,Clay,1
76.57108379,11.77540018,BMBmB1,BMB,Clay,1
76.57108539,11.77766033,BMBmB1,BMB,Clay,1
76.57108699,11.77992047,BMBiB1,BMB,Clay,1
76.57108859,11.78218062,BMBiB1,BMB,Clay,1
76.5710918,11.78670092,SPRcB2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57109242,11.75957843,MGHiB1,MGH,Gravelly_Sandy_Clay_Loam,3
76.5710934,11.78896106,SPRcB2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57109501,11.79122121,BMDcD2g1,BMD,Clay,1
76.57110464,11.80478209,KNGbB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.57110625,11.80704223,KNGbB2g2,KNG,Gravelly_Sandy_Clay_Loam,3
76.57110946,11.81156252,BMBiB1,BMB,Clay,1
76.57111107,11.81382266,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.57336003,11.75053693,BMDcD2g1,BMD,Clay,1
76.57336165,11.75279708,BMDcC2g1,BMD,Clay,1
76.57336327,11.75505723,BMBmB2,BMB,Clay,1
76.57336489,11.75731738,BMBmB2,BMB,Clay,1
76.57336651,11.75957754,HGHmB1,HGH,Sandy_Clay_Loam,5
76.57336812,11.76183769,HGHmB1,HGH,Sandy_Clay_Loam,5
76.57336974,11.76409784,HGHmB1,HGH,Sandy_Clay_Loam,5
76.57337136,11.76635799,BMBmB1,BMB,Clay,1
76.57337298,11.76861814,BMBmB1,BMB,Clay,1
76.57337784,11.77539859,BMBmB1,BMB,Clay,1
76.57337947,11.77765874,GPRhB1,GPR,Gravelly_Sandy_Clay_Loam,3
76.57338109,11.77991889,BMDhB1,BMD,Clay,1
76.57338271,11.78217903,HDRhB1,HDR,Sandy_Clay_Loam,5
76.57338433,11.78443918,HGHiB1,HGH,Sandy_Clay_Loam,5
76.57338595,11.78669933,SPRiC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57338758,11.78895948,SPRcB2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57339895,11.80478049,KNGbB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.57340057,11.80704064,KNGbB2g2,KNG,Gravelly_Sandy_Clay_Loam,3
76.5734022,11.80930078,HDRbB1g1,HDR,Sandy_Clay_Loam,5
76.57340382,11.81156093,KNGcB2,KNG,Gravelly_Sandy_Clay_Loam,3
76.57340545,11.81382107,KLPcC2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.57565225,11.74827517,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.57565389,11.75053533,BMDcD2g1,BMD,Clay,1
76.57565552,11.75279548,BMDcC2g1,BMD,Clay,1
76.57565716,11.75505563,SPRhB2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.5756588,11.75731578,BMBhB1,BMB,Clay,1
76.57566043,11.75957593,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.57566207,11.76183608,HGHmB1,HGH,Sandy_Clay_Loam,5
76.57566371,11.76409623,HGHmB1,HGH,Sandy_Clay_Loam,5
76.57566535,11.76635638,BMBmB1,BMB,Clay,1
76.57566698,11.76861653,BMBmB1,BMB,Clay,1
76.57566862,11.77087668,BMBmB1,BMB,Clay,1
76.5756719,11.77539698,BMBmB1,BMB,Clay,1
76.57567354,11.77765713,BMBmB1,BMB,Clay,1
76.57567518,11.77991728,BMDhB1,BMD,Clay,1
76.57567682,11.78217743,BMDhB1,BMD,Clay,1
76.57567846,11.78443757,SPRcB1g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.5756801,11.78669772,SPRiC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57568175,11.78895787,SPRiC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57569325,11.80477888,KNGbB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.57569489,11.80703903,KNGbB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.57569654,11.80929917,DRHcB2g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.57569818,11.81155931,DRHcB2g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.57569983,11.81381946,BMBiB1,BMB,Clay,1
76.57794608,11.74827355,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.57794774,11.7505337,SPRcD2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57794939,11.75279386,SPRcC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57795105,11.75505401,SPRhB2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.5779527,11.75731416,KLPhB1,KLP,Gravelly_Sandy_Clay_Loam,3
76.57795436,11.75957431,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.57795602,11.76183446,HPRiB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.57795767,11.76409461,HGHmB1,HGH,Sandy_Clay_Loam,5
76.57795933,11.76635476,BMBmB1,BMB,Clay,1
76.57796928,11.77991565,BMDcB1g1,BMD,Clay,1
76.57797094,11.7821758,BMDcB1g1,BMD,Clay,1
76.5779726,11.78443595,SPRcB1g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57797426,11.78669609,SPRiC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.57798755,11.80477726,DRHcB2g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.57798921,11.8070374,MGHcB2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.57799088,11.80929754,MGHcB2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.57799254,11.81155768,MGHcB2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.5779942,11.81381783,BMBiB1,BMB,Clay,1
76.57799587,11.81607797,HGHiB1,HGH,Sandy_Clay_Loam,5
76.57799753,11.81833811,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.5779992,11.82059825,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.57800086,11.82285839,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.57800253,11.82511853,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.58023992,11.74827191,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.58024159,11.75053206,SPRcD2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.58024326,11.75279222,SPRcC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.58024494,11.75505237,KLPhB1,KLP,Gravelly_Sandy_Clay_Loam,3
76.58024661,11.75731252,KLPhB1,KLP,Gravelly_Sandy_Clay_Loam,3
76.58024829,11.75957267,HPRcB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58024996,11.76183282,HPRcB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58025164,11.76409297,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58025331,11.76635312,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58025499,11.76861327,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58025834,11.77313357,BMBiB2,BMB,Clay,1
76.58026002,11.77539371,BMBiB2,BMB,Clay,1
76.5802617,11.77765386,BMDhB1,BMD,Clay,1
76.58026337,11.77991401,BMDcB1g1,BMD,Clay,1
76.58026505,11.78217416,BMDcB1g1,BMD,Clay,1
76.58026673,11.7844343,BMDcB1g1,BMD,Clay,1
76.58026841,11.78669445,SPRiC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.58028353,11.80703575,ARKbB2,ARK,Sandy_Clay,4
76.58028522,11.80929589,ARKbB2,ARK,Sandy_Clay,4
76.5802869,11.81155604,MGHcB2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.58028858,11.81381618,HGHiB1,HGH,Sandy_Clay_Loam,5
76.58029026,11.81607632,HGHiB1,HGH,Sandy_Clay_Loam,5
76.58029195,11.81833646,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.58029363,11.8205966,BMDcB2g1,BMD,Clay,1
76.58029532,11.82285674,BMDcB2g1,BMD,Clay,1
76.58044651,11.74290397,HDRiD3g2,HDR,Sandy_Clay_Loam,5
76.58044819,11.74516398,HDRiD3g2,HDR,Sandy_Clay_Loam,5
76.58044986,11.747424,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.58253375,11.74827025,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.58253544,11.75053041,SPRcD2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.58253714,11.75279056,SPRcC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.58253883,11.75505071,HDRhB1,HDR,Sandy_Clay_Loam,5
76.58254052,11.75731086,BMBhB1,BMB,Clay,1
76.58254222,11.75957101,HPRcB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58254391,11.76183116,HPRcB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.5825456,11.76409131,HGHmB1,HGH,Sandy_Clay_Loam,5
76.5825473,11.76635146,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58254899,11.76861161,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58255069,11.77087176,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58255408,11.77539205,BMBiB2,BMB,Clay,1
76.58255577,11.7776522,BMBiB2,BMB,Clay,1
76.58255917,11.78217249,BMDcB1g1,BMD,Clay,1
76.58256086,11.78443264,BMDcB1g1,BMD,Clay,1
76.58257956,11.80929423,ARKbB2,ARK,Sandy_Clay,4
76.58258126,11.81155437,HPRcB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58258296,11.81381451,HGHiB1,HGH,Sandy_Clay_Loam,5
76.58258466,11.81607465,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.58258636,11.81833479,HDRcB1g1,HDR,Sandy_Clay_Loam,5
76.58258807,11.82059493,DRHcB2g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.58258977,11.82285507,BMDcB2g1,BMD,Clay,1
76.58273833,11.7406423,KLPiC2,KLP,Gravelly_Sandy_Clay_Loam,3
76.58274002,11.74290231,KLPiC2,KLP,Gravelly_Sandy_Clay_Loam,3
76.58274172,11.74516233,HDRiC3g2,HDR,Sandy_Clay_Loam,5
76.58274341,11.74742234,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.5827451,11.74968235,SPRcD2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.5827468,11.75194236,SPRcC2g1,SPR,Gravelly_Sandy_Clay_Loam,3
76.5848293,11.75052873,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.58483101,11.75278888,ARKiB2,ARK,Sandy_Clay,4
76.58483272,11.75504903,ARKiB2,ARK,Sandy_Clay,4
76.58483443,11.75730918,BMBhB1,BMB,Clay,1
76.58483614,11.75956933,HPRhB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58483785,11.76182948,HPRhB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58483957,11.76408963,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58484299,11.76860993,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58484471,11.77087008,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58484814,11.77539037,GPRhB2,GPR,Gravelly_Sandy_Clay_Loam,3
76.58484985,11.77765052,GPRhB2,GPR,Gravelly_Sandy_Clay_Loam,3
76.58485157,11.77991067,KNGcB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.58485328,11.78217081,KNGcB1g1,KNG,Gravelly_Sandy_Clay_Loam,3
76.584855,11.78443096,BMDcB1g1,BMD,Clay,1
76.58487218,11.8070324,MGHbB1g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.5848739,11.80929254,KNGcB1,KNG,Gravelly_Sandy_Clay_Loam,3
76.58487562,11.81155268,HPRcB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58487906,11.81607297,HPRbB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58488078,11.81833311,HPRbB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.5848825,11.82059325,HPRhB1g1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58488422,11.82285339,BMDcB1g1,BMD,Clay,1
76.58503011,11.73838061,DRHhC2g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.58503182,11.74064062,DRHhC2g1,DRH,Gravelly_Sandy_Clay_Loam,3
76.58503353,11.74290064,GPRiC2g1,GPR,Gravelly_Sandy_Clay_Loam,3
76.58503524,11.74516065,HDRiC3g2,HDR,Sandy_Clay_Loam,5
76.58503695,11.74742066,HDRiD3g2,HDR,Sandy_Clay_Loam,5
76.58503867,11.74968067,MGHhE2g1,MGH,Gravelly_Sandy_Clay_Loam,3
76.58504038,11.75194068,ARKiB2,ARK,Sandy_Clay,4
76.58504209,11.7542007,ARKiB2,ARK,Sandy_Clay,4
76.58712661,11.75504734,ARKiB2,ARK,Sandy_Clay,4
76.5871318,11.76182779,HPRhB1,HPR,Gravelly_Sandy_Clay_Loam,3
76.58713353,11.76408793,HGHmB1,HGH,Sandy_Clay_Loam,5
76.58714046,11.77312853,BMBiB2,BMB,Clay,1
76.58714219,11.77538867,KLPhB2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.58714393,11.77764882,KLPhB2g1,KLP,Gravelly_Sandy_Clay_Loam,3
76.58714566,11.77990897,BMDcB1g1,BMD,Clay,1
